Condition;Emotion;Subject;RT;Valence;Session;Group
Baseline;Sadness;10LSA;6.96;4.666666666666667;1;1
Think;Neutral;11EMA;6.315;6.333333333333333;1;1
No-Think;Neutral;11EMA;6.6258333333333335;5.666666666666667;1;1
Baseline;Neutral;11EMA;5.832222222222223;6.222222222222222;1;1
Think;Disgust;11EMA;6.986666666666667;5.166666666666667;1;1
No-Think;Disgust;11EMA;7.39;4.75;1;1
Baseline;Disgust;11EMA;7.146666666666666;5.0;1;1
Think;Sadness;11EMA;6.864999999999999;3.0;1;1
No-Think;Sadness;11EMA;7.341666666666668;4.5;1;1
Baseline;Sadness;11EMA;6.609999999999999;3.6666666666666665;1;1
Think;Neutral;12JMA;7.275454545454545;5.454545454545454;1;1
No-Think;Neutral;12JMA;6.463333333333334;5.444444444444445;1;1
Baseline;Neutral;12JMA;7.451666666666667;5.416666666666667;1;1
Think;Disgust;12JMA;6.79;3.3333333333333335;1;1
No-Think;Disgust;12JMA;6.241666666666667;3.5;1;1
Baseline;Disgust;12JMA;6.69;3.1666666666666665;1;1
Think;Sadness;12JMA;6.051666666666667;2.6666666666666665;1;1
No-Think;Sadness;12JMA;6.105;2.6666666666666665;1;1
Baseline;Sadness;12JMA;7.302;2.3333333333333335;1;1
Think;Neutral;13GNI;5.109999999999999;6.0;1;1
No-Think;Neutral;13GNI;5.235;5.666666666666667;1;1
Baseline;Neutral;13GNI;5.785;7.166666666666667;1;1
Think;Disgust;13GNI;5.471666666666667;5.0;1;1
No-Think;Disgust;13GNI;5.476666666666667;6.0;1;1
Baseline;Disgust;13GNI;5.61;5.4;1;1
Think;Sadness;13GNI;5.343333333333333;5.0;1;1
No-Think;Sadness;13GNI;5.3740000000000006;6.6;1;1
Baseline;Sadness;13GNI;5.71;3.6666666666666665;1;1
Think;Neutral;14GFA;5.27625;4.875;1;1
No-Think;Neutral;14GFA;5.403333333333333;5.222222222222222;1;1
Baseline;Neutral;14GFA;5.583333333333335;6.083333333333333;1;1
Think;Disgust;14GFA;5.454;3.2;1;1
No-Think;Disgust;14GFA;6.056666666666666;3.0;1;1
Baseline;Disgust;14GFA;5.694;2.2;1;1
Think;Sadness;14GFA;5.581666666666667;2.5;1;1
No-Think;Sadness;14GFA;5.228333333333333;3.0;1;1
Baseline;Sadness;14GFA;6.196;3.2;1;1
Think;Neutral;15AJU;6.131818181818182;5.454545454545454;1;1
No-Think;Neutral;15AJU;8.235555555555557;5.818181818181818;1;1
Baseline;Neutral;15AJU;6.971666666666667;5.25;1;1
Think;Disgust;15AJU;6.840000000000001;3.8;1;1
No-Think;Disgust;15AJU;7.435;4.0;1;1
Baseline;Disgust;15AJU;7.6525;3.5;1;1
Think;Sadness;15AJU;7.178333333333332;3.6666666666666665;1;1
No-Think;Sadness;15AJU;6.838333333333334;3.1666666666666665;1;1
Baseline;Sadness;15AJU;8.235;3.1666666666666665;1;1
Think;Neutral;16HLU;6.113333333333333;5.666666666666667;1;1
No-Think;Neutral;16HLU;6.429090909090909;5.7272727272727275;1;1
Baseline;Neutral;16HLU;5.808;5.6;1;1
Think;Disgust;16HLU;5.853333333333334;4.0;1;1
No-Think;Disgust;16HLU;6.022;3.0;1;1
Baseline;Disgust;16HLU;6.1075;3.5;1;1
Think;Sadness;16HLU;5.656;2.6;1;1
No-Think;Sadness;16HLU;6.2459999999999996;3.4;1;1
Baseline;Sadness;16HLU;5.635000000000001;3.3333333333333335;1;1
Think;Neutral;17MBA;7.415454545454546;4.909090909090909;1;1
No-Think;Neutral;17MBA;6.824000000000001;5.2;1;1
Baseline;Neutral;17MBA;6.524166666666666;5.166666666666667;1;1
Think;Disgust;17MBA;7.054;4.0;1;1
No-Think;Disgust;17MBA;7.251666666666666;4.5;1;1
Baseline;Disgust;17MBA;6.81;3.5;1;1
Think;Sadness;17MBA;7.7316666666666665;3.1666666666666665;1;1
No-Think;Sadness;17MBA;7.659999999999999;3.2;1;1
Baseline;Sadness;17MBA;7.170000000000001;3.5;1;1
Think;Neutral;18VJU;6.284166666666667;5.833333333333333;1;1
No-Think;Neutral;18VJU;5.5254545454545445;5.545454545454546;1;1
Baseline;Neutral;18VJU;6.394999999999999;5.4;1;1
Think;Disgust;18VJU;5.514;1.0;1;1
No-Think;Disgust;18VJU;5.7975;3.25;1;1
Baseline;Disgust;18VJU;6.021666666666667;2.6666666666666665;1;1
Think;Sadness;18VJU;6.516;1.8;1;1
No-Think;Sadness;18VJU;6.113333333333333;3.3333333333333335;1;1
Baseline;Sadness;18VJU;5.7250000000000005;2.0;1;1
Think;Neutral;19MCO;6.927000000000001;5.8;1;1
No-Think;Neutral;19MCO;7.58;5.181818181818182;1;1
Baseline;Neutral;19MCO;7.374285714285713;5.444444444444445;1;1
Think;Disgust;19MCO;8.6025;4.4;1;1
No-Think;Disgust;19MCO;8.041666666666666;4.166666666666667;1;1
Baseline;Disgust;19MCO;7.273333333333333;4.0;1;1
Think;Sadness;19MCO;7.066;4.4;1;1
No-Think;Sadness;19MCO;8.17;3.6;1;1
Baseline;Sadness;19MCO;8.206666666666665;3.3333333333333335;1;1
Think;Neutral;21MVA;6.364999999999999;5.25;1;1
No-Think;Neutral;21MVA;6.742727272727274;6.181818181818182;1;1
Baseline;Neutral;21MVA;6.239999999999999;5.333333333333333;1;1
Think;Disgust;21MVA;5.666666666666667;4.666666666666667;1;1
No-Think;Disgust;21MVA;6.784000000000001;4.4;1;1
