Condition,Emotion,Subject,Recall_with_false,Recall,Group
No-Think,Sadness,12JMA,100.0,100.0,1
Baseline,Sadness,12JMA,100.0,100.0,1
Think,Neutral,12JMA,100.0,100.0,1
No-Think,Neutral,12JMA,100.0,100.0,1
Baseline,Neutral,12JMA,100.0,100.0,1
Think,Disgust,13GNI,100.0,66.66666666666666,1
No-Think,Disgust,13GNI,83.33333333333334,83.33333333333334,1
Baseline,Disgust,13GNI,100.0,100.0,1
Think,Sadness,13GNI,100.0,100.0,1
No-Think,Sadness,13GNI,83.33333333333334,83.33333333333334,1
Baseline,Sadness,13GNI,100.0,100.0,1
Think,Neutral,13GNI,100.0,100.0,1
No-Think,Neutral,13GNI,83.33333333333334,83.33333333333334,1
Baseline,Neutral,13GNI,100.0,100.0,1
Think,Disgust,14GFA,100.0,100.0,1
No-Think,Disgust,14GFA,33.33333333333333,33.33333333333333,1
Baseline,Disgust,14GFA,100.0,100.0,1
Think,Sadness,14GFA,100.0,100.0,1
No-Think,Sadness,14GFA,100.0,100.0,1
Baseline,Sadness,14GFA,100.0,100.0,1
Think,Neutral,14GFA,100.0,100.0,1
No-Think,Neutral,14GFA,83.33333333333334,83.33333333333334,1
Baseline,Neutral,14GFA,100.0,100.0,1
Think,Disgust,15AJU,66.66666666666666,66.66666666666666,1
No-Think,Disgust,15AJU,66.66666666666666,50.0,1
Baseline,Disgust,15AJU,100.0,100.0,1
Think,Sadness,15AJU,100.0,100.0,1
No-Think,Sadness,15AJU,66.66666666666666,66.66666666666666,1
Baseline,Sadness,15AJU,83.33333333333334,83.33333333333334,1
Think,Neutral,15AJU,100.0,100.0,1
No-Think,Neutral,15AJU,91.66666666666666,91.66666666666666,1
Baseline,Neutral,15AJU,100.0,100.0,1
Think,Disgust,16HLU,100.0,100.0,1
No-Think,Disgust,16HLU,100.0,100.0,1
Baseline,Disgust,16HLU,100.0,100.0,1
Think,Sadness,16HLU,100.0,100.0,1
No-Think,Sadness,16HLU,100.0,100.0,1
Baseline,Sadness,16HLU,100.0,100.0,1
Think,Neutral,16HLU,100.0,100.0,1
No-Think,Neutral,16HLU,83.33333333333334,83.33333333333334,1
Baseline,Neutral,16HLU,100.0,100.0,1
Think,Disgust,17MBA,100.0,100.0,1
No-Think,Disgust,17MBA,83.33333333333334,83.33333333333334,1
Baseline,Disgust,17MBA,83.33333333333334,83.33333333333334,1
Think,Sadness,17MBA,100.0,100.0,1
No-Think,Sadness,17MBA,100.0,100.0,1
Baseline,Sadness,17MBA,100.0,100.0,1
Think,Neutral,17MBA,100.0,100.0,1
No-Think,Neutral,17MBA,91.66666666666666,91.66666666666666,1
Baseline,Neutral,17MBA,100.0,100.0,1
Think,Disgust,18VJU,100.0,100.0,1
No-Think,Disgust,18VJU,100.0,100.0,1
Baseline,Disgust,18VJU,100.0,100.0,1
Think,Sadness,18VJU,100.0,100.0,1
No-Think,Sadness,18VJU,100.0,100.0,1
Baseline,Sadness,18VJU,100.0,100.0,1
Think,Neutral,18VJU,100.0,100.0,1
No-Think,Neutral,18VJU,100.0,100.0,1
Baseline,Neutral,18VJU,100.0,100.0,1
Think,Disgust,19MCO,60.0,60.0,1
No-Think,Disgust,19MCO,66.66666666666666,66.66666666666666,1
Baseline,Disgust,19MCO,50.0,50.0,1
Think,Sadness,19MCO,100.0,100.0,1
No-Think,Sadness,19MCO,83.33333333333334,83.33333333333334,1
Baseline,Sadness,19MCO,83.33333333333334,83.33333333333334,1
Think,Neutral,19MCO,91.66666666666666,91.66666666666666,1
No-Think,Neutral,19MCO,100.0,100.0,1
Baseline,Neutral,19MCO,91.66666666666666,91.66666666666666,1
Think,Disgust,21MVA,100.0,100.0,1
No-Think,Disgust,21MVA,100.0,100.0,1
Baseline,Disgust,21MVA,100.0,100.0,1
Think,Sadness,21MVA,100.0,100.0,1
No-Think,Sadness,21MVA,66.66666666666666,66.66666666666666,1
Baseline,Sadness,21MVA,100.0,100.0,1
Think,Neutral,21MVA,100.0,100.0,1
No-Think,Neutral,21MVA,90.9090909090909,90.9090909090909,1
Baseline,Neutral,21MVA,100.0,100.0,1
Think,Disgust,22DME,100.0,100.0,1
No-Think,Disgust,22DME,83.33333333333334,83.33333333333334,1
Baseline,Disgust,22DME,83.33333333333334,83.33333333333334,1
Think,Sadness,22DME,100.0,100.0,1
No-Think,Sadness,22DME,100.0,100.0,1
Baseline,Sadness,22DME,100.0,100.0,1
Think,Neutral,22DME,100.0,100.0,1
No-Think,Neutral,22DME,100.0,100.0,1
Baseline,Neutral,22DME,100.0,100.0,1
Think,Disgust,23RGR,83.33333333333334,83.33333333333334,1
No-Think,Disgust,23RGR,50.0,50.0,1
Baseline,Disgust,23RGR,80.0,80.0,1
Think,Sadness,23RGR,100.0,100.0,1
No-Think,Sadness,23RGR,50.0,50.0,1
Baseline,Sadness,23RGR,83.33333333333334,83.33333333333334,1
Think,Neutral,23RGR,91.66666666666666,91.66666666666666,1
No-Think,Neutral,23RGR,50.0,50.0,1
Baseline,Neutral,23RGR,75.0,75.0,1
Think,Disgust,24TEM,83.33333333333334,66.66666666666666,1
No-Think,Disgust,24TEM,66.66666666666666,50.0,1
Baseline,Disgust,24TEM,66.66666666666666,66.66666666666666,1
Think,Sadness,24TEM,100.0,100.0,1
No-Think,Sadness,24TEM,83.33333333333334,83.33333333333334,1
Baseline,Sadness,24TEM,83.33333333333334,83.33333333333334,1
Think,Neutral,24TEM,91.66666666666666,91.66666666666666,1
No-Think,Neutral,24TEM,66.66666666666666,66.66666666666666,1
Baseline,Neutral,24TEM,75.0,75.0,1
Think,Disgust,25LLU,0.0,0.0,1
No-Think,Disgust,25LLU,50.0,50.0,1
Baseline,Disgust,25LLU,40.0,40.0,1
Think,Sadness,25LLU,83.33333333333334,83.33333333333334,1
No-Think,Sadness,25LLU,83.33333333333334,83.33333333333334,1
Baseline,Sadness,25LLU,33.33333333333333,33.33333333333333,1
Think,Neutral,25LLU,83.33333333333334,83.33333333333334,1
No-Think,Neutral,25LLU,50.0,50.0,1
Baseline,Neutral,25LLU,63.63636363636363,63.63636363636363,1
Think,Disgust,26JET,83.33333333333334,83.33333333333334,1
No-Think,Disgust,26JET,66.66666666666666,66.66666666666666,1
Baseline,Disgust,26JET,100.0,100.0,1
Think,Sadness,26JET,100.0,100.0,1
No-Think,Sadness,26JET,100.0,100.0,1
Baseline,Sadness,26JET,100.0,100.0,1
Think,Neutral,26JET,91.66666666666666,91.66666666666666,1
No-Think,Neutral,26JET,100.0,100.0,1
Baseline,Neutral,26JET,100.0,100.0,1
Think,Disgust,27GMA,100.0,100.0,1
No-Think,Disgust,27GMA,100.0,100.0,1
Baseline,Disgust,27GMA,100.0,100.0,1
Think,Sadness,27GMA,100.0,100.0,1
No-Think,Sadness,27GMA,100.0,100.0,1
Baseline,Sadness,27GMA,100.0,100.0,1
Think,Neutral,27GMA,100.0,100.0,1
No-Think,Neutral,27GMA,100.0,100.0,1
Baseline,Neutral,27GMA,100.0,100.0,1
Think,Disgust,28PJU,80.0,80.0,1
No-Think,Disgust,28PJU,40.0,40.0,1
Baseline,Disgust,28PJU,100.0,100.0,1
Think,Sadness,28PJU,66.66666666666666,66.66666666666666,1
No-Think,Sadness,28PJU,100.0,100.0,1
Baseline,Sadness,28PJU,100.0,100.0,1
Think,Neutral,28PJU,75.0,75.0,1
No-Think,Neutral,28PJU,75.0,75.0,1
Baseline,Neutral,28PJU,100.0,100.0,1
Think,Disgust,29HJU,100.0,100.0,1
No-Think,Disgust,29HJU,100.0,100.0,1
Baseline,Disgust,29HJU,100.0,100.0,1
Think,Sadness,29HJU,100.0,100.0,1
No-Think,Sadness,29HJU,83.33333333333334,83.33333333333334,1
Baseline,Sadness,29HJU,100.0,100.0,1
Think,Neutral,29HJU,100.0,100.0,1
No-Think,Neutral,29HJU,100.0,100.0,1
Baseline,Neutral,29HJU,100.0,100.0,1
Think,Disgust,31NLI,91.66666666666666,83.33333333333334,2
No-Think,Disgust,31NLI,90.9090909090909,90.9090909090909,2
Baseline,Disgust,31NLI,100.0,100.0,2
Think,Neutral,31NLI,100.0,100.0,2
No-Think,Neutral,31NLI,91.66666666666666,83.33333333333334,2
Baseline,Neutral,31NLI,100.0,100.0,2
Think,Disgust,32CVI,83.33333333333334,75.0,2
No-Think,Disgust,32CVI,66.66666666666666,66.66666666666666,2
Baseline,Disgust,32CVI,83.33333333333334,83.33333333333334,2
Think,Neutral,32CVI,91.66666666666666,91.66666666666666,2
No-Think,Neutral,32CVI,83.33333333333334,83.33333333333334,2
Baseline,Neutral,32CVI,91.66666666666666,91.66666666666666,2
Think,Disgust,34LME,91.66666666666666,91.66666666666666,2
No-Think,Disgust,34LME,91.66666666666666,83.33333333333334,2
Baseline,Disgust,34LME,90.9090909090909,90.9090909090909,2
Think,Neutral,34LME,91.66666666666666,91.66666666666666,2
No-Think,Neutral,34LME,100.0,100.0,2
Baseline,Neutral,34LME,91.66666666666666,91.66666666666666,2
Think,Disgust,35QSY,100.0,91.66666666666666,2
No-Think,Disgust,35QSY,75.0,75.0,2
Baseline,Disgust,35QSY,91.66666666666666,91.66666666666666,2
Think,Neutral,35QSY,91.66666666666666,91.66666666666666,2
No-Think,Neutral,35QSY,83.33333333333334,83.33333333333334,2
Baseline,Neutral,35QSY,100.0,100.0,2
Think,Disgust,36LSA,100.0,100.0,2
